Model,Task,Noise_Type,Noise_Level,Acc_mean,Acc_std,F1_macro_mean,F1_macro_std,AUC_mean,AUC_std,accuracy_gap_mean,accuracy_gap_std,dp_diff_mean,dp_diff_std,worst_group_acc_mean,worst_group_acc_std,best_group_acc_mean,best_group_acc_std,eq_odds_diff_mean,eq_odds_diff_std
Ours,gender,defocus,3,0.6590,0.0054,0.6526,0.0070,0.7178,0.0065,0.0640,0.0250,0.1769,0.0447,0.6319,0.0144,0.6959,0.0159,0.1528,0.0418
Ours,gender,gaussian,1,0.6956,0.0060,0.6916,0.0062,0.7656,0.0046,0.0949,0.0164,0.2839,0.0159,0.6468,0.0039,0.7417,0.0155,0.2634,0.0146
Ours,gender,gaussian,2,0.6686,0.0092,0.6657,0.0092,0.7296,0.0061,0.1070,0.0177,0.2445,0.0148,0.6033,0.0121,0.7102,0.0135,0.2452,0.0284
Ours,gender,gaussian,3,0.6596,0.0087,0.6526,0.0102,0.7092,0.0045,0.1406,0.0406,0.1615,0.0346,0.5810,0.0292,0.7216,0.0188,0.1862,0.0205
Ours,gender,glass,1,0.7656,0.0052,0.7643,0.0051,0.8422,0.0029,0.1718,0.0194,0.1953,0.0300,0.6821,0.0099,0.8539,0.0113,0.1877,0.0260
Ours,gender,glass,2,0.7248,0.0070,0.7216,0.0076,0.7996,0.0029,0.1676,0.0172,0.2196,0.0299,0.6463,0.0234,0.8139,0.0258,0.1910,0.0125
Ours,gender,glass,3,0.6870,0.0071,0.6842,0.0068,0.7546,0.0032,0.1243,0.0209,0.2115,0.0146,0.6255,0.0209,0.7498,0.0166,0.1682,0.0210
Ours,gender,impulse,1,0.6838,0.0041,0.6835,0.0041,0.7609,0.0024,0.1437,0.0210,0.2199,0.0182,0.5902,0.0093,0.7339,0.0161,0.2275,0.0186
Ours,gender,impulse,2,0.6580,0.0050,0.6574,0.0049,0.7249,0.0058,0.0693,0.0162,0.2093,0.0384,0.6211,0.0073,0.6904,0.0144,0.1925,0.0334
Ours,gender,impulse,3,0.6516,0.0063,0.6510,0.0060,0.7049,0.0055,0.1633,0.0177,0.1718,0.0358,0.5675,0.0089,0.7308,0.0092,0.2330,0.0242
Ours,gender,jpeg,1,0.7728,0.0034,0.7713,0.0034,0.8555,0.0026,0.1788,0.0102,0.2377,0.0192,0.6881,0.0111,0.8669,0.0137,0.2219,0.0112
Ours,gender,jpeg,2,0.7420,0.0066,0.7404,0.0063,0.8156,0.0013,0.0969,0.0163,0.2153,0.0299,0.6860,0.0098,0.7829,0.0087,0.1521,0.0331
Ours,gender,jpeg,3,0.6870,0.0095,0.6863,0.0093,0.7548,0.0051,0.1126,0.0289,0.1758,0.0229,0.6269,0.0197,0.7395,0.0207,0.1677,0.0366
Ours,gender,shot,1,0.7046,0.0047,0.7015,0.0050,0.7790,0.0017,0.1004,0.0224,0.2517,0.0293,0.6470,0.0135,0.7474,0.0105,0.2300,0.0284
Ours,gender,shot,2,0.6852,0.0083,0.6819,0.0079,0.7425,0.0025,0.1484,0.0275,0.2043,0.0082,0.6073,0.0251,0.7557,0.0107,0.2192,0.0285
Ours,gender,shot,3,0.6566,0.0071,0.6525,0.0054,0.7094,0.0029,0.2150,0.0216,0.2243,0.0077,0.5317,0.0109,0.7467,0.0246,0.2968,0.0144
Ours,race,clean,0,0.4138,0.0087,0.4009,0.0101,0.7516,0.0018,0.0423,0.0055,,,0.3940,0.0091,0.4362,0.0091,0.0554,0.0089
Ours,race,cutout,1,0.4372,0.0054,0.4173,0.0031,0.7943,0.0005,0.0520,0.0030,,,0.4128,0.0066,0.4648,0.0043,0.0788,0.0065
Ours,race,cutout,2,0.4304,0.0060,0.4052,0.0046,0.7897,0.0005,0.0287,0.0167,,,0.4169,0.0112,0.4456,0.0092,0.0872,0.0075
Ours,race,cutout,3,0.4270,0.0102,0.4026,0.0137,0.7823,0.0014,0.0608,0.0149,,,0.3985,0.0105,0.4593,0.0147,0.0841,0.0083
Ours,race,defocus,1,0.3518,0.0081,0.3423,0.0066,0.7110,0.0024,0.0329,0.0104,,,0.3363,0.0107,0.3693,0.0082,0.0618,0.0178
Ours,race,defocus,2,0.3188,0.0068,0.3084,0.0045,0.6804,0.0017,0.0477,0.0261,,,0.2964,0.0126,0.3441,0.0167,0.0765,0.0220
Ours,race,defocus,3,0.2954,0.0059,0.2891,0.0063,0.6587,0.0029,0.0136,0.0075,,,0.2885,0.0067,0.3020,0.0071,0.0765,0.0129
Ours,race,gaussian,1,0.3514,0.0146,0.3345,0.0146,0.6989,0.0038,0.0086,0.0094,,,0.3473,0.0151,0.3559,0.0157,0.0386,0.0128
Ours,race,gaussian,2,0.3338,0.0095,0.3111,0.0099,0.6823,0.0025,0.0085,0.0048,,,0.3295,0.0078,0.3381,0.0115,0.0551,0.0106
Ours,race,gaussian,3,0.2868,0.0059,0.2597,0.0054,0.6500,0.0018,0.0261,0.0119,,,0.2729,0.0103,0.2991,0.0062,0.0670,0.0082
Ours,race,glass,1,0.3980,0.0049,0.3868,0.0068,0.7477,0.0034,0.0407,0.0123,,,0.3789,0.0064,0.4196,0.0092,0.0462,0.0108
Ours,race,glass,2,0.3630,0.0067,0.3476,0.0058,0.7172,0.0038,0.0729,0.0100,,,0.3288,0.0097,0.4017,0.0065,0.0913,0.0167
Ours,race,glass,3,0.3258,0.0065,0.3138,0.0087,0.6886,0.0014,0.0369,0.0112,,,0.3085,0.0056,0.3454,0.0110,0.0613,0.0079
Ours,race,impulse,1,0.3512,0.0036,0.3235,0.0058,0.7178,0.0022,0.0240,0.0148,,,0.3399,0.0066,0.3639,0.0097,0.0692,0.0067
Ours,race,impulse,2,0.3224,0.0068,0.2903,0.0052,0.6961,0.0036,0.0201,0.0065,,,0.3130,0.0041,0.3330,0.0102,0.0550,0.0060
Ours,race,impulse,3,0.3046,0.0069,0.2612,0.0044,0.6787,0.0046,0.0126,0.0050,,,0.2987,0.0062,0.3113,0.0085,0.0445,0.0088
Ours,race,jpeg,1,0.4134,0.0081,0.4005,0.0095,0.7515,0.0018,0.0406,0.0056,,,0.3944,0.0087,0.4350,0.0084,0.0547,0.0101
Ours,race,jpeg,2,0.3580,0.0042,0.3431,0.0050,0.7141,0.0023,0.0085,0.0114,,,0.3535,0.0087,0.3620,0.0052,0.0657,0.0122
Ours,race,jpeg,3,0.2958,0.0124,0.2833,0.0124,0.6680,0.0047,0.0033,0.0041,,,0.2941,0.0121,0.2974,0.0130,0.0561,0.0193
Ours,race,shot,1,0.3586,0.0071,0.3417,0.0059,0.7083,0.0023,0.0095,0.0100,,,0.3539,0.0079,0.3634,0.0094,0.0577,0.0070
Ours,race,shot,2,0.3272,0.0109,0.2982,0.0096,0.6882,0.0031,0.0088,0.0029,,,0.3228,0.0103,0.3316,0.0113,0.0412,0.0034
Ours,race,shot,3,0.3052,0.0033,0.2736,0.0016,0.6518,0.0051,0.0165,0.0157,,,0.2975,0.0084,0.3139,0.0087,0.0495,0.0122
